"","Cow","QTR","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","DOCult1","DOCult2","PCCult1","PCCult2","PCSampDIM","IMIDO","IMIPC","Cure","NewIMI"
"497",7.89469085042562,"RF",5,2018-08-22,"Lockout",42.8947368421053,"2",2017-11-08,17.236496,287,5.33753807970132,6.96790920180188,"0",2018-10-29,68,"No Growth",NA,"No Growth",NA,9,0,0,NA,0
"498",7.89469085042562,"RR",5,2018-08-22,"Lockout",42.8947368421053,"2",2017-11-08,17.236496,287,5.33753807970132,6.96790920180188,"0",2018-10-29,68,"No Growth",NA,"Staphylococcus sciuri",NA,9,0,1,NA,1
"499",7.9035962896143,"LF",5,2018-08-15,"Lockout",51.5131578947368,"2",2017-05-28,23.586784,444,4.17438726989564,7.21081845347222,"0",2018-10-26,72,NA,NA,"No Growth",NA,12,NA,0,NA,NA
"500",7.9035962896143,"LR",5,2018-08-15,"Lockout",51.5131578947368,"2",2017-05-28,23.586784,444,4.17438726989564,7.21081845347222,"0",2018-10-26,72,"Staphylococcus chromogenes","Bacillus sp.","No Growth",NA,12,1,0,1,0
"501",7.9035962896143,"RF",5,2018-08-15,"Lockout",51.5131578947368,"2",2017-05-28,23.586784,444,4.17438726989564,7.21081845347222,"0",2018-10-26,72,"No Growth",NA,"No Growth",NA,12,0,0,NA,0
"502",7.9035962896143,"RR",5,2018-08-15,"Lockout",51.5131578947368,"2",2017-05-28,23.586784,444,4.17438726989564,7.21081845347222,"0",2018-10-26,72,NA,NA,"No Growth",NA,12,NA,0,NA,NA
"503",7.91022370709734,"LF",4,2018-08-20,"Orbeseal",46.0197368421053,"2",2017-09-27,27.21552,327,5.27299955856375,5.80211837537706,"0",2018-10-15,56,"No Growth",NA,"No Growth",NA,9,0,0,NA,0
"504",7.91022370709734,"LR",4,2018-08-20,"Orbeseal",46.0197368421053,"2",2017-09-27,27.21552,327,5.27299955856375,5.80211837537706,"0",2018-10-15,56,"Staphylococcus chromogenes",NA,"No Growth",NA,9,1,0,1,0
"505",7.91022370709734,"RF",4,2018-08-20,"Orbeseal",46.0197368421053,"2",2017-09-27,27.21552,327,5.27299955856375,5.80211837537706,"0",2018-10-15,56,"No Growth",NA,"Staphylococcus sp.",NA,9,0,1,NA,1
"506",7.91022370709734,"RR",4,2018-08-20,"Orbeseal",46.0197368421053,"2",2017-09-27,27.21552,327,5.27299955856375,5.80211837537706,"0",2018-10-15,56,"No Growth",NA,"No Growth",NA,9,0,0,NA,0
