"","Cow","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","RemDP","Rem2","Rem2TAR","CM2","CM2TAR"
"55",7.40245152081824,5,2018-08-15,"0",65.5592105263158,"3",2017-08-27,17.236496,353,5.96357934361845,8.01301211036892,"1",2018-10-05,51,0,0,100,0,100
"56",7.40671073017764,5,2018-08-22,"0",31.2171052631579,"1",2017-10-25,12.700576,301,5.37063802812766,5.37063802812766,"0",2018-10-19,58,0,0,100,0,100
"57",7.41276401742656,5,2018-08-15,"0",43.4868421052632,"2",2017-11-04,28.122704,284,3.98898404656427,4.69134788222914,"0",2018-10-05,51,0,0,100,0,100
"58",7.42356844425917,5,2018-08-15,"0",32.9605263157895,"1",2017-09-09,29.937072,340,6.38856140554563,6.38856140554563,"0",2018-10-10,56,0,0,100,0,100
"59",7.43070708254597,4,2018-08-20,"0",62.6973684210526,"3",2017-05-10,19.050864,467,6.30627528694802,7.22475340576797,"1",2018-10-06,47,0,0,100,0,100
"60",7.43248380791712,4,2018-08-20,"1",36.9078947368421,"1",2017-06-11,32.658624,435,3.3322045101752,5.27299955856375,"0",2018-10-14,55,0,0,100,0,100
"61",7.45760928971561,5,2018-08-22,"1",85.7236842105263,"4",2017-11-12,22.6796,283,4.62497281328427,6.18208490671663,"0",2018-10-17,56,0,0,100,0,100
"62",7.47647238116391,5,2018-08-22,"0",31.3157894736842,"1",2017-10-25,20.865232,301,6.07073772800249,8.81150325015824,"1",2018-10-06,45,0,0,100,0,100
"63",7.48211892355212,5,2018-08-22,"1",31.1513157894737,"1",2017-11-06,25.401152,289,5.03695260241363,7.96901178110648,"0",2018-10-20,59,0,0,100,0,100
"64",7.48380668766583,5,2018-08-22,"1",30.8552631578947,"1",2017-11-06,29.937072,289,6.30261897574491,6.30261897574491,"0",2018-10-23,62,0,0,100,0,100
"65",7.50549227473742,2,2018-07-12,"0",71.0855263157895,"4",2017-05-17,26.761928,421,6.13339804299665,6.13339804299665,"0",2018-09-02,52,0,0,100,1,0
"66",7.50604217851812,5,2018-08-22,"0",32.5657894736842,"1",2017-10-26,21.772416,300,7.06219163228656,7.16162200293919,"0",2018-10-08,47,0,0,100,0,100
"67",7.50659178007084,4,2018-08-13,"1",57.3684210526316,"3",2017-10-24,27.21552,293,4.36944785246702,6.35262939631957,"0",2018-10-14,62,0,0,100,0,100
